country,total_earnings,players,game
United States,"$2,153,437.10 ",137,Halo 3
Canada,"$71,450.00 ",7,Halo 3
United Kingdom,"$38,947.85 ",47,Halo 3
France,"$20,156.84 ",8,Halo 3
Sweden,"$5,414.78 ",4,Halo 3
Netherlands,"$2,897.90 ",9,Halo 3
Italy,"$1,500.00 ",1,Halo 3
Finland,"$1,097.76 ",4,Halo 3
Ireland,"$1,000.00 ",1,Halo 3
Belgium,$470.46 ,2,Halo 3
Norway,$457.92 ,1,Halo 3
Switzerland,$196.02 ,1,Halo 3
Japan,"$1,155,771.05 ",37,Street Fighter V: Arcade Edition
United States,"$569,431.05 ",94,Street Fighter V: Arcade Edition
United Kingdom,"$117,832.48 ",14,Street Fighter V: Arcade Edition
France,"$81,460.13 ",25,Street Fighter V: Arcade Edition
United Arab Emirates,"$62,022.76 ",2,Street Fighter V: Arcade Edition
Norway,"$50,886.93 ",3,Street Fighter V: Arcade Edition
"Korea, Republic of","$50,827.97 ",4,Street Fighter V: Arcade Edition
"Taiwan, Republic of China","$34,757.40 ",5,Street Fighter V: Arcade Edition
Singapore,"$23,599.00 ",2,Street Fighter V: Arcade Edition
Dominican Republic,"$20,998.30 ",7,Street Fighter V: Arcade Edition
Sweden,"$15,660.32 ",3,Street Fighter V: Arcade Edition
China,"$14,815.63 ",5,Street Fighter V: Arcade Edition
Brazil,"$14,065.03 ",18,Street Fighter V: Arcade Edition
Netherlands,"$11,372.46 ",1,Street Fighter V: Arcade Edition
Ireland,"$8,165.83 ",3,Street Fighter V: Arcade Edition
Pakistan,"$4,876.33 ",4,Street Fighter V: Arcade Edition
Canada,"$4,150.95 ",17,Street Fighter V: Arcade Edition
Belgium,"$3,863.24 ",1,Street Fighter V: Arcade Edition
Peru,"$3,250.00 ",1,Street Fighter V: Arcade Edition
Panama,"$2,500.00 ",1,Street Fighter V: Arcade Edition
Hong Kong,"$2,284.00 ",3,Street Fighter V: Arcade Edition
Spain,$794.51 ,3,Street Fighter V: Arcade Edition
Malaysia,$750.00 ,1,Street Fighter V: Arcade Edition
Russian Federation,$750.00 ,1,Street Fighter V: Arcade Edition
Mexico,$500.00 ,1,Street Fighter V: Arcade Edition
Puerto Rico,$500.00 ,1,Street Fighter V: Arcade Edition
Chile,$265.25 ,1,Street Fighter V: Arcade Edition
Colombia,$225.00 ,1,Street Fighter V: Arcade Edition
Côte D'Ivoire,$71.90 ,1,Street Fighter V: Arcade Edition
Australia,$37.50 ,2,Street Fighter V: Arcade Edition
United States,"$857,233.49 ",184,Chess.com
Russian Federation,"$309,352.48 ",115,Chess.com
India,"$142,446.00 ",74,Chess.com
China,"$138,076.17 ",15,Chess.com
France,"$69,871.83 ",18,Chess.com
Armenia,"$64,251.32 ",20,Chess.com
Ukraine,"$61,549.53 ",38,Chess.com
Netherlands,"$58,568.24 ",13,Chess.com
"Iran, Islamic Republic of","$51,105.50 ",14,Chess.com
Canada,"$47,345.79 ",27,Chess.com
United Kingdom,"$46,255.45 ",19,Chess.com
Poland,"$43,435.69 ",23,Chess.com
Norway,"$39,855.00 ",10,Chess.com
Viet Nam,"$29,360.47 ",8,Chess.com
Peru,"$28,606.44 ",8,Chess.com
Azerbaijan,"$27,788.21 ",27,Chess.com
Georgia,"$23,967.65 ",12,Chess.com
Spain,"$21,714.52 ",23,Chess.com
Germany,"$20,020.72 ",20,Chess.com
Uzbekistan,"$16,658.84 ",9,Chess.com
Sweden,"$15,029.50 ",10,Chess.com
Kazakhstan,"$14,930.31 ",10,Chess.com
Hungary,"$14,335.70 ",7,Chess.com
Argentina,"$9,912.88 ",5,Chess.com
Italy,"$7,966.41 ",16,Chess.com
Belarus,"$7,739.42 ",6,Chess.com
Greece,"$7,642.45 ",6,Chess.com
Denmark,"$7,324.75 ",4,Chess.com
Ireland,"$6,846.23 ",5,Chess.com
Brazil,"$6,343.68 ",7,Chess.com
Egypt,"$5,652.72 ",3,Chess.com
Turkey,"$4,962.21 ",18,Chess.com
Monaco,"$4,937.50 ",1,Chess.com
Morocco,"$4,000.00 ",1,Chess.com
Serbia,"$3,710.97 ",9,Chess.com
Bulgaria,"$3,328.66 ",7,Chess.com
Croatia,"$3,131.27 ",7,Chess.com
Israel,"$2,499.46 ",6,Chess.com
Romania,"$2,466.16 ",5,Chess.com
Australia,"$2,362.29 ",2,Chess.com
Iceland,"$2,000.00 ",1,Chess.com
Latvia,"$1,928.92 ",6,Chess.com
Lithuania,"$1,764.29 ",3,Chess.com
United Arab Emirates,"$1,761.11 ",1,Chess.com
Czech Republic,"$1,678.26 ",6,Chess.com
Cuba,"$1,275.66 ",3,Chess.com
Venezuela,"$1,174.93 ",3,Chess.com
Mongolia,$900.00 ,1,Chess.com
Chile,$815.82 ,3,Chess.com
Japan,$800.00 ,1,Chess.com
Ecuador,$754.17 ,3,Chess.com
Slovakia,$675.55 ,3,Chess.com
Andorra,$575.00 ,1,Chess.com
Philippines,$500.33 ,5,Chess.com
Sri Lanka,$500.00 ,1,Chess.com
New Zealand,$500.00 ,1,Chess.com
Colombia,$468.05 ,2,Chess.com
Paraguay,$416.49 ,2,Chess.com
Indonesia,$400.00 ,2,Chess.com
Slovenia,$245.22 ,2,Chess.com
Malaysia,$216.43 ,1,Chess.com
Estonia,$199.00 ,2,Chess.com
"Moldova, Republic of",$149.00 ,2,Chess.com
Montenegro,$136.00 ,2,Chess.com
Dominican Republic,$100.00 ,1,Chess.com
South Africa,$100.00 ,1,Chess.com
Finland,$99.00 ,1,Chess.com
Jamaica,$75.75 ,1,Chess.com
Mexico,$74.75 ,2,Chess.com
North Macedonia,$62.50 ,1,Chess.com
Hong Kong,$57.21 ,2,Chess.com
Bangladesh,$50.00 ,1,Chess.com
Switzerland,$25.00 ,1,Chess.com
Brazil,"$242,500.00 ",24,FIFA 21
Denmark,"$233,750.00 ",13,FIFA 21
Germany,"$211,450.00 ",26,FIFA 21
France,"$167,608.98 ",9,FIFA 21
Sweden,"$148,998.60 ",10,FIFA 21
Italy,"$134,794.91 ",14,FIFA 21
United Kingdom,"$125,713.76 ",18,FIFA 21
Spain,"$120,750.00 ",10,FIFA 21
Netherlands,"$117,000.00 ",4,FIFA 21
Saudi Arabia,"$106,750.00 ",15,FIFA 21
Mexico,"$105,750.00 ",13,FIFA 21
Australia,"$69,000.00 ",12,FIFA 21
Argentina,"$63,500.00 ",5,FIFA 21
United States,"$56,000.00 ",16,FIFA 21
Japan,"$41,250.00 ",5,FIFA 21
Senegal,"$40,000.00 ",1,FIFA 21
Canada,"$23,000.00 ",4,FIFA 21
South Africa,"$21,000.00 ",2,FIFA 21
Malaysia,"$16,750.00 ",5,FIFA 21
Russian Federation,"$14,250.00 ",6,FIFA 21
Israel,"$14,000.00 ",2,FIFA 21
Turkey,"$13,000.00 ",2,FIFA 21
Colombia,"$12,750.00 ",2,FIFA 21
Portugal,"$11,500.00 ",2,FIFA 21
Indonesia,"$10,000.00 ",1,FIFA 21
Peru,"$10,000.00 ",2,FIFA 21
Singapore,"$7,500.00 ",1,FIFA 21
Romania,"$6,500.00 ",1,FIFA 21
Malta,"$4,993.28 ",10,FIFA 21
Belgium,"$4,000.00 ",2,FIFA 21
Switzerland,"$4,000.00 ",1,FIFA 21
Poland,"$2,500.00 ",2,FIFA 21
Kuwait,"$2,250.00 ",1,FIFA 21
Finland,"$1,500.00 ",1,FIFA 21
Norway,"$1,500.00 ",1,FIFA 21
Uruguay,"$1,500.00 ",1,FIFA 21
United Arab Emirates,"$1,000.00 ",1,FIFA 21
India,"$1,000.00 ",1,FIFA 21
Bulgaria,$625.00 ,1,FIFA 21
Egypt,$500.00 ,1,FIFA 21
Croatia,$200.00 ,1,FIFA 21
Saudi Arabia,"$525,250.00 ",8,FIFA 18
Germany,"$393,627.44 ",39,FIFA 18
France,"$176,844.72 ",18,FIFA 18
United Kingdom,"$149,790.43 ",23,FIFA 18
South Africa,"$109,110.00 ",10,FIFA 18
Denmark,"$87,102.11 ",10,FIFA 18
Poland,"$73,269.57 ",11,FIFA 18
Belgium,"$70,000.00 ",2,FIFA 18
Argentina,"$69,000.00 ",3,FIFA 18
Hungary,"$65,213.81 ",4,FIFA 18
Brazil,"$57,000.00 ",15,FIFA 18
United States,"$48,750.00 ",10,FIFA 18
Netherlands,"$46,441.76 ",8,FIFA 18
Sweden,"$40,830.48 ",4,FIFA 18
Malta,"$38,778.70 ",7,FIFA 18
Spain,"$30,571.31 ",10,FIFA 18
Australia,"$29,250.00 ",6,FIFA 18
Canada,"$25,750.00 ",3,FIFA 18
Italy,"$19,500.00 ",7,FIFA 18
Ireland,"$18,904.88 ",1,FIFA 18
Mexico,"$18,000.00 ",4,FIFA 18
Japan,"$16,500.00 ",3,FIFA 18
Czech Republic,"$15,755.71 ",6,FIFA 18
Austria,"$14,576.97 ",3,FIFA 18
Colombia,"$10,000.00 ",1,FIFA 18
Finland,"$6,112.80 ",1,FIFA 18
Russian Federation,"$6,000.00 ",4,FIFA 18
Indonesia,"$5,000.00 ",2,FIFA 18
Slovakia,"$4,325.10 ",2,FIFA 18
China,"$3,500.00 ",2,FIFA 18
Hong Kong,"$3,500.00 ",4,FIFA 18
Ukraine,"$3,000.00 ",1,FIFA 18
Bulgaria,"$2,500.00 ",1,FIFA 18
Singapore,"$2,000.00 ",2,FIFA 18
Thailand,"$2,000.00 ",2,FIFA 18
Turkey,"$2,000.00 ",2,FIFA 18
Uzbekistan,"$2,000.00 ",1,FIFA 18
"Korea, Republic of","$1,500.00 ",2,FIFA 18
Georgia,$500.00 ,1,FIFA 18
Malaysia,$500.00 ,1,FIFA 18
Mauritius,$344.33 ,1,FIFA 18
Switzerland,$242.61 ,1,FIFA 18
United States,"$742,397.56 ",101,Street Fighter V
Japan,"$676,080.40 ",34,Street Fighter V
Dominican Republic,"$268,210.20 ",4,Street Fighter V
"Korea, Republic of","$99,147.70 ",5,Street Fighter V
United Kingdom,"$84,454.55 ",24,Street Fighter V
Norway,"$66,611.36 ",2,Street Fighter V
China,"$64,046.39 ",9,Street Fighter V
France,"$37,778.19 ",17,Street Fighter V
Canada,"$31,665.58 ",9,Street Fighter V
"Taiwan, Republic of China","$31,554.94 ",6,Street Fighter V
Brazil,"$24,373.53 ",7,Street Fighter V
Singapore,"$20,176.64 ",1,Street Fighter V
Puerto Rico,"$14,046.62 ",2,Street Fighter V
Hong Kong,"$13,127.58 ",9,Street Fighter V
Belgium,"$8,835.72 ",2,Street Fighter V
Sweden,"$7,016.01 ",7,Street Fighter V
United Arab Emirates,"$6,326.72 ",2,Street Fighter V
Ireland,"$4,921.63 ",1,Street Fighter V
Panama,"$4,500.00 ",1,Street Fighter V
Chile,"$2,827.21 ",3,Street Fighter V
Russian Federation,"$1,500.00 ",1,Street Fighter V
Spain,"$1,295.10 ",1,Street Fighter V
Netherlands,"$1,012.32 ",3,Street Fighter V
Viet Nam,"$1,000.00 ",1,Street Fighter V
Malaysia,$750.00 ,1,Street Fighter V
Mexico,$559.00 ,1,Street Fighter V
Thailand,$85.38 ,3,Street Fighter V
Denmark,$70.80 ,1,Street Fighter V
Australia,$60.00 ,1,Street Fighter V
Colombia,$46.32 ,1,Street Fighter V
United States,"$1,255,333.44 ",100,H1Z1
United Kingdom,"$165,362.20 ",6,H1Z1
"Korea, Republic of","$68,000.00 ",6,H1Z1
Poland,"$45,000.00 ",1,H1Z1
Norway,"$41,000.00 ",3,H1Z1
Czech Republic,"$40,086.60 ",1,H1Z1
France,"$37,000.00 ",8,H1Z1
Sweden,"$36,089.76 ",5,H1Z1
Finland,"$22,000.00 ",3,H1Z1
Turkey,"$20,000.00 ",1,H1Z1
Canada,"$12,650.00 ",2,H1Z1
Germany,"$12,000.00 ",1,H1Z1
Belgium,"$5,000.00 ",1,H1Z1
United States,"$1,091,135.74 ",1352,Super Smash Bros. Ultimate
Mexico,"$302,350.13 ",89,Super Smash Bros. Ultimate
France,"$182,788.27 ",187,Super Smash Bros. Ultimate
Canada,"$86,372.10 ",219,Super Smash Bros. Ultimate
Japan,"$67,862.58 ",29,Super Smash Bros. Ultimate
Germany,"$54,991.25 ",138,Super Smash Bros. Ultimate
United Kingdom,"$54,006.73 ",146,Super Smash Bros. Ultimate
Netherlands,"$34,885.94 ",71,Super Smash Bros. Ultimate
Dominican Republic,"$27,858.66 ",13,Super Smash Bros. Ultimate
Spain,"$24,137.75 ",86,Super Smash Bros. Ultimate
Austria,"$13,928.39 ",23,Super Smash Bros. Ultimate
Italy,"$8,067.21 ",69,Super Smash Bros. Ultimate
India,"$8,056.37 ",23,Super Smash Bros. Ultimate
Sweden,"$7,941.21 ",21,Super Smash Bros. Ultimate
Switzerland,"$6,669.69 ",19,Super Smash Bros. Ultimate
Australia,"$6,226.93 ",31,Super Smash Bros. Ultimate
Finland,"$5,206.08 ",26,Super Smash Bros. Ultimate
Ecuador,"$5,088.13 ",8,Super Smash Bros. Ultimate
Belgium,"$4,895.89 ",21,Super Smash Bros. Ultimate
Chile,"$4,705.11 ",37,Super Smash Bros. Ultimate
China,"$4,160.71 ",12,Super Smash Bros. Ultimate
New Zealand,"$3,819.20 ",3,Super Smash Bros. Ultimate
Norway,"$3,485.46 ",22,Super Smash Bros. Ultimate
Qatar,"$3,317.54 ",4,Super Smash Bros. Ultimate
Brazil,"$3,206.57 ",28,Super Smash Bros. Ultimate
Saudi Arabia,"$2,743.45 ",4,Super Smash Bros. Ultimate
Luxembourg,"$2,203.66 ",13,Super Smash Bros. Ultimate
Guatemala,"$2,052.50 ",1,Super Smash Bros. Ultimate
Colombia,"$1,693.50 ",8,Super Smash Bros. Ultimate
Greece,"$1,635.04 ",11,Super Smash Bros. Ultimate
Puerto Rico,"$1,007.78 ",6,Super Smash Bros. Ultimate
Hong Kong,$967.17 ,3,Super Smash Bros. Ultimate
Iraq,$956.34 ,1,Super Smash Bros. Ultimate
Costa Rica,$590.38 ,4,Super Smash Bros. Ultimate
Philippines,$514.54 ,1,Super Smash Bros. Ultimate
United Arab Emirates,$408.00 ,3,Super Smash Bros. Ultimate
Israel,$312.43 ,11,Super Smash Bros. Ultimate
Sri Lanka,$285.14 ,1,Super Smash Bros. Ultimate
"Taiwan, Republic of China",$284.09 ,1,Super Smash Bros. Ultimate
Peru,$283.40 ,7,Super Smash Bros. Ultimate
Panama,$282.51 ,6,Super Smash Bros. Ultimate
Thailand,$279.12 ,4,Super Smash Bros. Ultimate
Lebanon,$230.00 ,1,Super Smash Bros. Ultimate
Jamaica,$188.63 ,1,Super Smash Bros. Ultimate
Ireland,$133.19 ,2,Super Smash Bros. Ultimate
Singapore,$130.08 ,1,Super Smash Bros. Ultimate
Portugal,$124.30 ,3,Super Smash Bros. Ultimate
Argentina,$113.17 ,2,Super Smash Bros. Ultimate
Turkey,$88.75 ,1,Super Smash Bros. Ultimate
Venezuela,$79.50 ,3,Super Smash Bros. Ultimate
Honduras,$76.87 ,4,Super Smash Bros. Ultimate
Andorra,$73.62 ,1,Super Smash Bros. Ultimate
Indonesia,$72.59 ,8,Super Smash Bros. Ultimate
Russian Federation,$54.97 ,3,Super Smash Bros. Ultimate
Poland,$51.25 ,5,Super Smash Bros. Ultimate
South Africa,$49.89 ,1,Super Smash Bros. Ultimate
Denmark,$49.35 ,2,Super Smash Bros. Ultimate
Lithuania,$9.76 ,2,Super Smash Bros. Ultimate
Hungary,$5.50 ,1,Super Smash Bros. Ultimate
Uruguay,$5.00 ,1,Super Smash Bros. Ultimate
China,"$837,247.20 ",120,League of Legends: Wild Rift
"Korea, Republic of","$201,105.52 ",44,League of Legends: Wild Rift
Viet Nam,"$112,500.04 ",28,League of Legends: Wild Rift
"Taiwan, Republic of China","$106,856.00 ",13,League of Legends: Wild Rift
Spain,"$102,489.60 ",4,League of Legends: Wild Rift
Philippines,"$98,500.00 ",11,League of Legends: Wild Rift
Thailand,"$62,899.98 ",14,League of Legends: Wild Rift
Germany,"$41,585.06 ",4,League of Legends: Wild Rift
Brazil,"$30,000.00 ",5,League of Legends: Wild Rift
Japan,"$26,666.68 ",4,League of Legends: Wild Rift
United States,"$24,000.00 ",4,League of Legends: Wild Rift
Indonesia,"$22,999.96 ",17,League of Legends: Wild Rift
Russian Federation,"$19,272.00 ",7,League of Legends: Wild Rift
Hong Kong,"$18,999.97 ",13,League of Legends: Wild Rift
Argentina,"$18,000.00 ",3,League of Legends: Wild Rift
Malaysia,"$16,699.98 ",12,League of Legends: Wild Rift
Singapore,"$15,900.00 ",9,League of Legends: Wild Rift
France,"$13,237.33 ",3,League of Legends: Wild Rift
Denmark,"$9,733.33 ",2,League of Legends: Wild Rift
Czech Republic,"$6,229.33 ",1,League of Legends: Wild Rift
United Kingdom,"$6,229.33 ",1,League of Legends: Wild Rift
Canada,"$6,000.00 ",1,League of Legends: Wild Rift
Chile,"$6,000.00 ",1,League of Legends: Wild Rift
Uruguay,"$6,000.00 ",1,League of Legends: Wild Rift
Belgium,"$3,504.00 ",1,League of Legends: Wild Rift
Estonia,"$3,504.00 ",1,League of Legends: Wild Rift
Kyrgyzstan,"$1,752.00 ",1,League of Legends: Wild Rift
Romania,"$1,752.00 ",1,League of Legends: Wild Rift
"Korea, Republic of","$843,900.19 ",59,Tekken 7
Japan,"$404,968.49 ",35,Tekken 7
United States,"$322,582.52 ",209,Tekken 7
Pakistan,"$127,376.38 ",36,Tekken 7
France,"$33,824.35 ",15,Tekken 7
Italy,"$33,512.03 ",14,Tekken 7
United Kingdom,"$19,189.40 ",15,Tekken 7
Peru,"$16,800.20 ",8,Tekken 7
Thailand,"$16,006.42 ",3,Tekken 7
Spain,"$15,998.22 ",12,Tekken 7
Saudi Arabia,"$14,600.00 ",7,Tekken 7
Philippines,"$13,700.53 ",3,Tekken 7
Ireland,"$10,215.30 ",2,Tekken 7
Denmark,"$7,000.00 ",1,Tekken 7
Switzerland,"$6,534.60 ",1,Tekken 7
Canada,"$2,812.66 ",21,Tekken 7
Puerto Rico,"$2,454.83 ",1,Tekken 7
Netherlands,"$2,250.00 ",1,Tekken 7
Australia,"$2,171.72 ",7,Tekken 7
Venezuela,"$2,053.05 ",4,Tekken 7
India,"$1,872.91 ",5,Tekken 7
Brazil,"$1,622.45 ",6,Tekken 7
Germany,"$1,375.70 ",4,Tekken 7
Dominican Republic,"$1,146.30 ",5,Tekken 7
Russian Federation,"$1,000.00 ",6,Tekken 7
Finland,$934.61 ,5,Tekken 7
Greece,$581.31 ,1,Tekken 7
Bahrain,$511.25 ,1,Tekken 7
Bolivia,$500.00 ,1,Tekken 7
Lebanon,$500.00 ,1,Tekken 7
Poland,$500.00 ,1,Tekken 7
Malaysia,$480.00 ,1,Tekken 7
Belgium,$356.07 ,2,Tekken 7
South Africa,$350.00 ,2,Tekken 7
Malta,$329.39 ,3,Tekken 7
Chile,$250.00 ,1,Tekken 7
Indonesia,$240.00 ,1,Tekken 7
Kenya,$150.00 ,1,Tekken 7
Kuwait,$150.00 ,1,Tekken 7
Yemen,$120.00 ,1,Tekken 7
Mexico,$30.00 ,1,Tekken 7
Belarus,$0.00 ,1,Tekken 7
Thailand,"$652,920.02 ",28,FIFA Online 4
"Korea, Republic of","$625,000.03 ",46,FIFA Online 4
China,"$205,666.61 ",41,FIFA Online 4
Viet Nam,"$199,833.37 ",32,FIFA Online 4
Singapore,"$72,999.99 ",4,FIFA Online 4
Malaysia,"$37,333.33 ",2,FIFA Online 4
Indonesia,"$11,999.99 ",7,FIFA Online 4
Hong Kong,"$5,000.00 ",1,FIFA Online 4
United States,"$990,050.00 ",76,Gears 5
Mexico,"$367,900.00 ",35,Gears 5
United Kingdom,"$169,600.00 ",23,Gears 5
Philippines,"$67,200.00 ",1,Gears 5
France,"$58,400.00 ",5,Gears 5
Spain,"$53,100.00 ",9,Gears 5
Puerto Rico,"$29,250.00 ",2,Gears 5
Canada,"$21,000.00 ",2,Gears 5
Italy,"$15,000.00 ",1,Gears 5
Colombia,"$5,600.00 ",1,Gears 5
Ireland,"$2,400.00 ",1,Gears 5
Austria,$900.00 ,1,Gears 5
Germany,$900.00 ,1,Gears 5
Russian Federation,$900.00 ,1,Gears 5
Kuwait,$800.00 ,1,Gears 5
Netherlands,"$335,168.00 ",59,rFactor 2
Germany,"$192,056.31 ",43,rFactor 2
Finland,"$153,873.67 ",16,rFactor 2
United Kingdom,"$124,999.50 ",55,rFactor 2
Italy,"$108,074.53 ",44,rFactor 2
Sweden,"$103,200.10 ",7,rFactor 2
France,"$92,730.76 ",21,rFactor 2
Slovenia,"$74,646.34 ",7,rFactor 2
North Macedonia,"$65,061.69 ",2,rFactor 2
Brazil,"$54,728.58 ",7,rFactor 2
Poland,"$53,723.67 ",20,rFactor 2
Denmark,"$37,674.55 ",29,rFactor 2
Croatia,"$36,839.52 ",5,rFactor 2
Argentina,"$34,400.00 ",3,rFactor 2
Czech Republic,"$27,492.49 ",9,rFactor 2
Estonia,"$25,617.67 ",23,rFactor 2
Portugal,"$24,657.67 ",7,rFactor 2
Switzerland,"$22,529.25 ",3,rFactor 2
Belgium,"$21,626.86 ",5,rFactor 2
China,"$20,800.00 ",1,rFactor 2
New Zealand,"$20,229.83 ",3,rFactor 2
Hungary,"$19,033.58 ",13,rFactor 2
United States,"$11,497.08 ",12,rFactor 2
Spain,"$9,925.72 ",13,rFactor 2
Australia,"$9,052.25 ",9,rFactor 2
Greece,"$8,704.66 ",5,rFactor 2
Norway,"$5,859.26 ",4,rFactor 2
South Africa,"$5,135.00 ",3,rFactor 2
Bulgaria,"$4,690.21 ",5,rFactor 2
Austria,"$3,845.50 ",4,rFactor 2
Canada,"$2,916.45 ",6,rFactor 2
Luxembourg,"$2,500.00 ",1,rFactor 2
Ireland,"$2,399.95 ",7,rFactor 2
Indonesia,"$1,344.32 ",3,rFactor 2
Serbia,"$1,194.09 ",3,rFactor 2
Russian Federation,"$1,141.62 ",2,rFactor 2
Turkey,$966.20 ,2,rFactor 2
Malaysia,$400.00 ,2,rFactor 2
Lithuania,$375.00 ,1,rFactor 2
Colombia,$250.00 ,1,rFactor 2
Slovakia,$231.54 ,2,rFactor 2
Philippines,$200.00 ,1,rFactor 2
Singapore,$200.00 ,1,rFactor 2
Peru,$196.87 ,3,rFactor 2
Chile,$50.89 ,1,rFactor 2
India,$3.39 ,1,rFactor 2
United States,"$1,529,657.62 ",143,Halo 2
Canada,"$22,304.92 ",18,Halo 2
France,"$5,000.00 ",3,Halo 2
Germany,$0.00 ,1,Halo 2
Netherlands,$0.00 ,1,Halo 2
China,"$471,054.00 ",23,Teamfight Tactics
United States,"$304,175.00 ",46,Teamfight Tactics
France,"$136,200.00 ",19,Teamfight Tactics
"Korea, Republic of","$119,050.00 ",9,Teamfight Tactics
Brazil,"$115,014.65 ",16,Teamfight Tactics
Germany,"$66,900.00 ",13,Teamfight Tactics
Poland,"$45,449.00 ",18,Teamfight Tactics
Turkey,"$39,750.00 ",6,Teamfight Tactics
Japan,"$38,500.00 ",3,Teamfight Tactics
Australia,"$37,950.00 ",5,Teamfight Tactics
Canada,"$33,975.00 ",7,Teamfight Tactics
Denmark,"$30,625.00 ",3,Teamfight Tactics
Argentina,"$24,425.00 ",4,Teamfight Tactics
Colombia,"$18,000.00 ",2,Teamfight Tactics
United Kingdom,"$16,000.00 ",1,Teamfight Tactics
Russian Federation,"$13,875.00 ",6,Teamfight Tactics
Spain,"$13,775.00 ",6,Teamfight Tactics
--UNDEFINED--,"$10,750.00 ",1,Teamfight Tactics
Belgium,"$8,225.00 ",3,Teamfight Tactics
Czech Republic,"$7,500.00 ",1,Teamfight Tactics
Mexico,"$7,500.00 ",1,Teamfight Tactics
Peru,"$5,000.00 ",1,Teamfight Tactics
Tunisia,"$5,000.00 ",1,Teamfight Tactics
Costa Rica,"$4,500.00 ",1,Teamfight Tactics
Sweden,"$3,325.00 ",2,Teamfight Tactics
Netherlands,"$3,225.00 ",1,Teamfight Tactics
Viet Nam,"$3,025.00 ",1,Teamfight Tactics
Ukraine,"$2,875.00 ",2,Teamfight Tactics
Hong Kong,"$2,725.00 ",1,Teamfight Tactics
Italy,"$1,600.00 ",1,Teamfight Tactics
Morocco,"$1,450.00 ",1,Teamfight Tactics
Finland,"$1,350.00 ",1,Teamfight Tactics
Chile,"$1,175.00 ",1,Teamfight Tactics
Hungary,"$1,175.00 ",1,Teamfight Tactics
Portugal,$150.00 ,1,Teamfight Tactics
United States,"$1,136,779.78 ",77,Call of Duty: Ghosts
Canada,"$208,514.26 ",9,Call of Duty: Ghosts
Australia,"$79,612.52 ",17,Call of Duty: Ghosts
United Kingdom,"$72,519.53 ",33,Call of Duty: Ghosts
France,"$24,088.27 ",22,Call of Duty: Ghosts
Spain,"$8,354.48 ",30,Call of Duty: Ghosts
Ireland,"$7,821.51 ",1,Call of Duty: Ghosts
Bulgaria,$982.88 ,2,Call of Duty: Ghosts
Sweden,$406.20 ,4,Call of Duty: Ghosts
Netherlands,$270.80 ,4,Call of Duty: Ghosts
"Korea, Republic of","$1,400,444.84 ",151,StarCraft: Remastered
China,"$47,826.12 ",14,StarCraft: Remastered
Poland,"$30,285.44 ",16,StarCraft: Remastered
Russian Federation,"$27,717.94 ",9,StarCraft: Remastered
United States,"$21,567.74 ",19,StarCraft: Remastered
Peru,"$16,591.05 ",7,StarCraft: Remastered
Canada,"$10,867.80 ",6,StarCraft: Remastered
Sweden,"$4,838.05 ",4,StarCraft: Remastered
Spain,"$3,846.88 ",1,StarCraft: Remastered
Chile,"$3,706.00 ",4,StarCraft: Remastered
Italy,"$2,000.00 ",2,StarCraft: Remastered
Hungary,"$1,551.12 ",1,StarCraft: Remastered
Denmark,$450.00 ,1,StarCraft: Remastered
United Kingdom,$445.00 ,1,StarCraft: Remastered
Norway,$125.00 ,2,StarCraft: Remastered
Kazakhstan,$100.00 ,1,StarCraft: Remastered
North Macedonia,$100.00 ,1,StarCraft: Remastered
Bolivia,$65.00 ,1,StarCraft: Remastered
Germany,$50.00 ,1,StarCraft: Remastered
Finland,$25.00 ,1,StarCraft: Remastered
France,$25.00 ,1,StarCraft: Remastered
United States,"$879,917.51 ",1104,Super Smash Bros. for Wii U
Chile,"$171,396.32 ",3,Super Smash Bros. for Wii U
Canada,"$115,135.52 ",115,Super Smash Bros. for Wii U
Mexico,"$111,458.53 ",26,Super Smash Bros. for Wii U
Japan,"$85,845.94 ",39,Super Smash Bros. for Wii U
Netherlands,"$47,602.01 ",29,Super Smash Bros. for Wii U
France,"$23,368.03 ",48,Super Smash Bros. for Wii U
United Kingdom,"$21,158.09 ",64,Super Smash Bros. for Wii U
Germany,"$16,186.81 ",35,Super Smash Bros. for Wii U
Spain,"$13,209.72 ",56,Super Smash Bros. for Wii U
Australia,"$7,853.05 ",37,Super Smash Bros. for Wii U
Norway,"$2,712.31 ",16,Super Smash Bros. for Wii U
United Arab Emirates,"$2,436.64 ",3,Super Smash Bros. for Wii U
Kuwait,"$2,178.00 ",1,Super Smash Bros. for Wii U
Puerto Rico,"$2,167.00 ",8,Super Smash Bros. for Wii U
Argentina,"$2,116.69 ",21,Super Smash Bros. for Wii U
Sweden,"$1,955.16 ",25,Super Smash Bros. for Wii U
Switzerland,"$1,689.76 ",12,Super Smash Bros. for Wii U
Brazil,"$1,347.58 ",13,Super Smash Bros. for Wii U
Saudi Arabia,"$1,326.61 ",1,Super Smash Bros. for Wii U
Italy,$475.26 ,21,Super Smash Bros. for Wii U
Finland,$414.22 ,15,Super Smash Bros. for Wii U
Venezuela,$366.49 ,2,Super Smash Bros. for Wii U
Colombia,$316.13 ,6,Super Smash Bros. for Wii U
Austria,$280.98 ,2,Super Smash Bros. for Wii U
Lebanon,$265.32 ,1,Super Smash Bros. for Wii U
Belgium,$200.41 ,4,Super Smash Bros. for Wii U
Andorra,$151.93 ,2,Super Smash Bros. for Wii U
